name,total_points,position_DEF,GW,team,opponent_team,position_FWD,position_GK,position_MID,game_avg_7,pos_id,initval,rank,diff_from_avg,opp_defense_rank,opp_attack_rank,team_cluster_rank,opp_cluster_rank,was_home,total_points_20
Roberto Firmino,2,0,19,11,13,1,0,0,5.285714285714286,2,95.0,3.0,-3.2857142857142856,0,3,3,3,True,2
Wilfried Zaha,0,0,19,6,12,0,0,1,3.2857142857142856,0,70.0,3.0,-3.2857142857142856,0,3,3,3,False,0
Mario Lemina,0,0,19,8,5,0,0,1,1.2857142857142858,0,45.0,2.0,-1.2857142857142858,0,2,2,2,True,0
Wilfred Ndidi,3,0,19,10,16,0,0,1,1.8571428571428572,0,50.0,2.0,1.1428571428571428,3,1,1,1,True,3
Jacob Murphy,1,0,19,14,1,0,0,1,1.5714285714285714,0,50.0,2.0,-0.5714285714285714,0,1,1,1,False,1
Fabio Henrique Tavares,2,0,19,11,13,0,0,1,1.4285714285714286,0,55.0,2.0,0.5714285714285714,0,3,3,3,True,2
Tammy Abraham,2,0,19,5,9,1,0,0,1.2857142857142858,2,75.0,2.0,0.7142857142857142,2,2,2,2,False,2
Nicolas Pépé,0,0,19,1,14,0,0,1,5.571428571428571,0,80.0,3.0,-5.571428571428571,2,1,1,1,True,0
Adam Webster,5,1,19,3,10,0,0,0,2.142857142857143,1,45.0,2.0,2.857142857142857,2,2,2,2,False,5
Allan Saint-Maximin,0,0,19,14,1,0,0,1,2.142857142857143,0,55.0,2.0,-2.142857142857143,0,1,1,1,False,0
Oluwasemilogo Adesewo Ibidapo Ajayi,1,1,19,18,19,0,0,0,0.7142857142857143,1,50.0,1.0,0.2857142857142857,1,2,2,2,False,1
Kyle Bartley,1,1,19,18,19,0,0,0,1.7142857142857142,1,45.0,2.0,-0.7142857142857142,1,2,2,2,False,1
João Filipe Iria Santos Moutinho,2,0,19,20,18,0,0,1,1.2857142857142858,0,55.0,2.0,0.7142857142857142,3,0,0,0,True,2
Çaglar Söyüncü,0,1,19,10,5,0,0,0,0.8571428571428571,1,55.0,2.0,-0.8571428571428571,0,2,2,2,True,0
Theo Walcott,2,0,19,16,9,0,0,1,3.5714285714285716,0,60.0,3.0,-1.5714285714285716,2,2,2,2,False,2
Lewis Dunk,8,1,19,3,10,0,0,0,3.7142857142857144,1,50.0,3.0,4.285714285714286,2,2,2,2,False,8
Willian Borges Da Silva,1,0,19,1,14,0,0,1,0.8571428571428571,0,80.0,2.0,0.1428571428571429,2,1,1,1,True,1
James Justin,6,1,19,10,5,0,0,0,2.0,1,45.0,2.0,4.0,0,2,2,2,True,6
Hélder Wander Sousa de Azevedo e Costa,0,0,19,9,3,0,0,1,0.5714285714285714,0,55.0,1.0,-0.5714285714285714,1,1,1,1,True,0
Yves Bissouma,1,0,19,3,10,0,0,1,1.8571428571428572,0,45.0,2.0,-0.8571428571428572,2,2,2,2,False,1
Conor Townsend,0,1,19,18,19,0,0,0,1.4285714285714286,1,45.0,2.0,-1.4285714285714286,1,2,2,2,False,0
Jack Harrison,2,0,19,9,3,0,0,1,5.428571428571429,0,55.0,3.0,-3.428571428571429,1,1,1,1,True,2
Jan Bednarek,1,1,19,16,9,0,0,0,1.4285714285714286,1,45.0,2.0,-0.4285714285714286,2,2,2,2,False,1
Matt Ritchie,0,0,19,14,2,0,0,1,0.0,0,50.0,0.0,0.0,1,1,1,1,False,0
Miguel Almirón,2,0,19,14,2,0,0,1,4.285714285714286,0,60.0,3.0,-2.2857142857142856,1,1,1,1,False,2
Matheus Pereira,15,0,19,18,20,0,0,1,5.428571428571429,0,60.0,3.0,9.571428571428571,2,0,0,0,False,15
Antonee Robinson,0,1,19,8,13,0,0,0,1.1428571428571428,1,45.0,2.0,-1.1428571428571428,0,3,3,3,True,0
Oriol Romeu Vidal,0,0,19,16,9,0,0,1,1.2857142857142858,0,45.0,2.0,-1.2857142857142858,2,2,2,2,False,0
Andrew Robertson,6,1,19,11,13,0,0,0,3.2857142857142856,1,70.0,3.0,2.7142857142857144,0,3,3,3,True,6
Bukayo Saka,9,0,19,1,14,0,0,1,3.2857142857142856,0,55.0,3.0,5.714285714285714,2,1,1,1,True,9
Luke Ayling,2,1,20,9,14,0,0,0,1.5714285714285714,1,45.0,2.0,0.4285714285714286,2,1,1,1,False,2
João Filipe Iria Santos Moutinho,1,0,20,20,5,0,0,1,2.5714285714285716,0,55.0,3.0,-1.5714285714285716,0,2,2,2,False,1
Enda Stevens,0,1,20,15,13,0,0,0,0.7142857142857143,1,55.0,1.0,-0.7142857142857143,0,3,3,3,False,0
Aaron Cresswell,5,1,20,19,6,0,0,0,3.4285714285714284,1,50.0,3.0,1.5714285714285716,3,1,1,1,False,5
Kalvin Phillips,2,0,20,9,14,0,0,1,0.8571428571428571,0,50.0,2.0,1.1428571428571428,2,1,1,1,False,2
Nicolas Pépé,6,0,20,1,16,0,0,1,3.0,0,80.0,3.0,3.0,3,1,1,1,False,6
Kyle Walker-Peters,0,1,20,16,1,0,0,0,2.142857142857143,1,45.0,2.0,-2.142857142857143,0,1,1,1,True,0
Danny Ings,2,0,20,16,1,1,0,0,3.4285714285714284,2,85.0,3.0,-1.4285714285714284,0,1,1,1,True,2
Daniel Castelo Podence,3,0,20,20,5,0,0,1,2.5714285714285716,0,55.0,3.0,0.4285714285714284,0,2,2,2,False,3
George Baldock,2,1,20,15,13,0,0,0,0.8571428571428571,1,55.0,2.0,1.1428571428571428,0,3,3,3,False,2
Ben Osborn,0,0,20,15,13,0,0,1,2.142857142857143,0,50.0,2.0,-2.142857142857143,0,3,3,3,False,0
